
Host: noto.epfl.ch

Timers On : Mon Sep  6 11:41:02 2021
Timers Off: Mon Sep  6 11:48:43 2021

Wall Time:      461.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.091w      7 calls
Libint2ERI::Libint2ERI              :      0.667u      0.117s      0.524w    154 calls
DFH: initialize()                   :      0.917u      0.233s      0.758w      7 calls
DFH: AO Construction                :      0.033u      0.000s      0.175w      7 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      7 calls
HF: Form core H                     :      1.617u      0.150s      2.449w      7 calls
HF: Form S/X                        :      0.017u      0.000s      0.071w      7 calls
HF: Guess                           :      0.617u      0.250s      0.887w      7 calls
SAD Guess                           :      0.567u      0.250s      0.878w      1 calls
HF: Form G                          :      0.300u      0.050s      0.217w     68 calls
JK: D                               :      0.000u      0.017s      0.091w     68 calls
JK: USO2AO                          :      0.033u      0.000s      0.007w     68 calls
JK: JK                              :      0.100u      0.000s      0.030w     68 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.029w     68 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w     68 calls
DFH: compute_J                      :      0.000u      0.000s      0.010w     68 calls
DFH: compute_K                      :      0.067u      0.000s      0.010w     68 calls
JK: AO2USO                          :      0.083u      0.000s      0.003w     68 calls
HF: Form F                          :      0.067u      0.000s      0.178w     68 calls
HF: Form D                          :      0.000u      0.000s      0.240w     68 calls
HF: DIIS                            :      1.983u      0.217s      3.450w     67 calls
DIISManager::add_entry              :      1.383u      0.100s      2.704w     61 calls
DIISManager::extrapolate            :      0.100u      0.017s      0.105w     61 calls
bMatrix setup                       :      0.033u      0.000s      0.009w     61 calls
bMatrix pseudoinverse               :      0.017u      0.017s      0.006w     61 calls
New vector                          :      0.050u      0.000s      0.087w     61 calls
HF: Form C                          :      0.567u      0.017s      0.156w     67 calls
Grad: V T Perturb                   :      1.900u      0.500s      2.662w      7 calls
Grad: S                             :      0.000u      0.000s      0.002w      7 calls
Grad: JK                            :      5.383u      0.650s     14.129w      7 calls
JKGrad: Amn                         :      0.283u      0.000s      0.195w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.783u      0.100s      0.509w      7 calls
JKGrad: UV                          :      0.033u      0.000s      0.083w      7 calls
JKGrad: ABx                         :      0.417u      0.017s      0.507w      7 calls
JKGrad: Amnx                        :      0.950u      0.183s      0.608w      7 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.091w      7 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      7 calls
DFH: initialize()                   :      0.917u      0.233s      0.758w      7 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.013w     35 calls
| DFH: AO Construction              :      0.033u      0.000s      0.175w      7 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w      7 calls
HF: Form core H                     :      1.617u      0.150s      2.449w      7 calls
HF: Form S/X                        :      0.017u      0.000s      0.071w      7 calls
HF: Guess                           :      0.617u      0.250s      0.887w      7 calls
| SAD Guess                         :      0.567u      0.250s      0.878w      1 calls
HF: Form G                          :      0.300u      0.050s      0.217w     68 calls
| JK: D                             :      0.000u      0.017s      0.091w     68 calls
| JK: USO2AO                        :      0.033u      0.000s      0.007w     68 calls
| JK: JK                            :      0.100u      0.000s      0.030w     68 calls
| | DFH: compute_JK()               :      0.100u      0.000s      0.029w     68 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w     68 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.010w     68 calls
| | | DFH: compute_K                :      0.067u      0.000s      0.010w     68 calls
| JK: AO2USO                        :      0.083u      0.000s      0.003w     68 calls
HF: Form F                          :      0.067u      0.000s      0.178w     68 calls
HF: Form D                          :      0.000u      0.000s      0.240w     68 calls
HF: DIIS                            :      1.983u      0.217s      3.450w     67 calls
| DIISManager::add_entry            :      1.383u      0.100s      2.704w     61 calls
| DIISManager::extrapolate          :      0.100u      0.017s      0.105w     61 calls
| | bMatrix setup                   :      0.033u      0.000s      0.009w     61 calls
| | bMatrix pseudoinverse           :      0.017u      0.017s      0.006w     61 calls
| | New vector                      :      0.050u      0.000s      0.087w     61 calls
HF: Form C                          :      0.567u      0.017s      0.156w     67 calls
Grad: V T Perturb                   :      1.900u      0.500s      2.662w      7 calls
Grad: S                             :      0.000u      0.000s      0.002w      7 calls
Grad: JK                            :      5.383u      0.650s     14.129w      7 calls
| JKGrad: Amn                       :      0.283u      0.000s      0.195w      7 calls
| | Libint2ERI::Libint2ERI          :      0.083u      0.000s      0.062w     28 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      7 calls
| JKGrad: AB                        :      0.783u      0.100s      0.509w      7 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w     28 calls
| JKGrad: UV                        :      0.033u      0.000s      0.083w      7 calls
| JKGrad: ABx                       :      0.417u      0.017s      0.507w      7 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.083w     28 calls
| JKGrad: Amnx                      :      0.950u      0.183s      0.608w      7 calls
| | Libint2ERI::Libint2ERI          :      0.433u      0.117s      0.349w     28 calls
Grad: XC                            :      0.000u      0.000s      0.000w      7 calls

**************************************************************************************

Host: noto.epfl.ch

Timers On : Mon Sep  6 11:22:02 2021
Timers Off: Mon Sep  6 11:55:43 2021

Wall Time:     2021.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.017s      0.080w      6 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.072w     36 calls
DFH: initialize()                   :      0.883u      0.067s      0.492w      6 calls
DFH: AO Construction                :      0.067u      0.000s      0.008w      6 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      6 calls
HF: Form core H                     :      1.167u      0.133s      1.363w      6 calls
HF: Form S/X                        :      0.300u      0.033s      0.220w      6 calls
HF: Guess                           :      1.817u      0.133s      0.875w      6 calls
SAD Guess                           :      1.517u      0.133s      0.824w      6 calls
HF: Form G                          :      0.367u      0.017s      0.201w     34 calls
JK: D                               :      0.017u      0.000s      0.001w     34 calls
JK: USO2AO                          :      0.167u      0.000s      0.057w     34 calls
JK: JK                              :      0.083u      0.000s      0.062w     34 calls
DFH: compute_JK()                   :      0.067u      0.000s      0.061w     34 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     34 calls
DFH: compute_J                      :      0.017u      0.000s      0.004w     34 calls
DFH: compute_K                      :      0.017u      0.000s      0.007w     34 calls
JK: AO2USO                          :      0.050u      0.017s      0.003w     34 calls
