
Host: noto.epfl.ch

Timers On : Mon Sep  6 16:05:48 2021
Timers Off: Mon Sep  6 16:44:39 2021

Wall Time:     2330.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

Host: noto.epfl.ch

Timers On : Mon Sep  6 16:05:53 2021
Timers Off: Mon Sep  6 16:44:39 2021

Wall Time:     2326.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.900u      0.033s      0.575w     41 calls
Libint2ERI::Libint2ERI              :      6.450u      0.267s      3.666w    570 calls
DFH: initialize()                   :      6.150u      0.333s      3.252w     41 calls
DFH: AO Construction                :      2.017u      0.000s      0.941w     41 calls
DFH: AO-Met. Contraction            :      0.667u      0.033s      0.340w     41 calls
HF: Form core H                     :      8.683u      0.967s     10.170w     52 calls
HF: Form S/X                        :      0.250u      0.033s      0.174w     52 calls
HF: Guess                           :      1.200u      0.083s      0.645w     52 calls
SAD Guess                           :      1.067u      0.067s      0.610w      3 calls
HF: Form G                          :      8.933u      0.400s      5.570w    635 calls
JK: D                               :      0.083u      0.000s      0.030w    635 calls
JK: USO2AO                          :      0.067u      0.000s      0.115w    635 calls
JK: JK                              :      8.333u      0.383s      5.098w    635 calls
DFH: compute_JK()                   :      3.183u      0.117s      1.957w    495 calls
DFH: Grabbing AOs                   :      0.033u      0.000s      0.002w    495 calls
DFH: compute_J                      :      0.517u      0.000s      0.450w    495 calls
DFH: compute_K                      :      2.317u      0.083s      1.387w    495 calls
PK computes JK                      :      4.483u      0.233s      2.786w    107 calls
JK: J                               :      0.017u      0.000s      0.016w     33 calls
JK: J1                              :      0.000u      0.000s      0.007w     66 calls
JK: J2                              :      0.000u      0.000s      0.007w     66 calls
JK: K                               :      0.567u      0.033s      0.327w     33 calls
JK: K1                              :      0.483u      0.017s      0.250w     66 calls
JK: K2                              :      0.067u      0.017s      0.075w     66 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w    635 calls
HF: Form F                          :      0.050u      0.017s      0.311w    635 calls
HF: Form D                          :      0.117u      0.000s      0.028w    635 calls
HF: DIIS                            :      8.617u      1.050s      6.705w    632 calls
DIISManager::add_entry              :      5.450u      0.567s      4.973w    589 calls
DIISManager::extrapolate            :      1.017u      0.250s      0.600w    589 calls
bMatrix setup                       :      0.400u      0.100s      0.215w    589 calls
bMatrix pseudoinverse               :      0.217u      0.017s      0.047w    589 calls
New vector                          :      0.350u      0.117s      0.326w    589 calls
HF: Form C                          :      4.050u      0.483s      2.436w    632 calls
Grad: V T Perturb                   :      6.600u      0.183s      3.681w     41 calls
Grad: S                             :      0.133u      0.000s      0.022w     41 calls
Grad: JK                            :     34.733u      2.317s     34.251w     41 calls
JKGrad: Amn                         :      5.083u      0.083s      2.410w     41 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     41 calls
JKGrad: AB                          :      2.333u      0.300s      1.330w     41 calls
JKGrad: UV                          :      0.083u      0.000s      0.032w     41 calls
JKGrad: ABx                         :      0.950u      0.100s      0.654w     41 calls
JKGrad: Amnx                        :     10.100u      0.100s      5.751w     41 calls
Grad: XC                            :      0.017u      0.000s      0.000w     41 calls
Total PK formation time             :      9.283u      0.167s      5.596w      8 calls
trans_ints                          :     59.267u     19.650s     93.615w      8 calls
Trans (OO|OO)                       :     10.683u      3.800s     24.887w      8 calls
Trans (OO|OV)                       :      1.883u      0.183s      2.705w      8 calls
Trans (OO|VV)                       :      3.100u      0.517s      3.588w      8 calls
Trans (OV|OO)                       :      9.417u      2.817s     14.851w      8 calls
Trans (OV|OV)                       :      4.050u      0.533s      6.475w      8 calls
Trans (OV|VV)                       :      5.483u      0.933s      6.323w      8 calls
Trans (VV|OO)                       :     13.683u      7.100s     23.020w      8 calls
Trans (VV|OV)                       :      9.100u      2.433s      9.257w      8 calls
Sort chem -> phys                   :      1.000u      1.017s      1.161w      8 calls
Sort (OO|OO) -> <OO|OO>             :      0.017u      0.000s      0.019w      8 calls
Sort (OO|OV) -> <OO|OV>             :      0.067u      0.033s      0.066w      8 calls
Sort (OV|OV) -> <OO|VV>             :      0.033u      0.167s      0.122w      8 calls
Sort (OO|VV) -> <OV|OV>             :      0.250u      0.167s      0.184w      8 calls
Sort (OV|VV) -> <OV|VV>             :      0.633u      0.633s      0.769w      8 calls
Antisymmetrize integrals            :      0.083u      0.200s      0.146w      8 calls
Make <OO||OO>                       :      0.000u      0.000s      0.002w      8 calls
Make <OO||OV>                       :      0.000u      0.017s      0.007w      8 calls
Make <OO||VV>                       :      0.017u      0.067s      0.057w      8 calls
Make <OV||OV>                       :      0.067u      0.117s      0.080w      8 calls
Trans OEI                           :      0.000u      0.000s      0.004w     11 calls
Build Denominators                  :      0.050u      0.033s      0.038w      8 calls
T2(1)                               :      1.467u      0.383s      3.962w      8 calls
MP2 Energy                          :      1.483u      0.267s      2.538w      8 calls
G int                               :      2.533u      0.300s      2.630w      8 calls
OPDM                                :      0.000u      0.000s      0.005w      8 calls
TPDM OOVV                           :      2.567u      0.450s      2.745w      8 calls
TPDM REF                            :      1.283u      0.150s      1.188w      8 calls
TPDM CORR OPDM                      :      2.100u      0.333s      2.233w      8 calls
JK: (A|mn)                          :      0.133u      0.000s      0.042w      3 calls
JK: (A|Q)^-1/2                      :      0.183u      0.000s      0.095w      3 calls
JK: (Q|mn)                          :      0.050u      0.000s      0.015w      3 calls
DF CC Integrals                     :      5.000u      0.750s      6.017w      3 calls
Form J                              :      0.283u      0.050s      0.197w      3 calls
Form B(Q,munu)                      :      1.250u      0.167s      1.621w      3 calls
Form B(Q,ij)                        :      0.767u      0.100s      0.621w      3 calls
Form B(Q,ia)                        :      1.350u      0.250s      2.022w      3 calls
Form B(Q,ab)                        :      1.317u      0.183s      1.229w      3 calls
1st-order T2                        :      3.817u      0.400s      4.080w      3 calls
Build (IA|JB)                       :      0.350u      0.033s      0.337w      3 calls
Build <PQ||RS>                      :      0.017u      0.000s      0.008w     12 calls
Build (ia|jb)                       :      0.267u      0.017s      0.928w      3 calls
Build (IA|jb)                       :      0.150u      0.000s      0.141w      3 calls
MP3                                 :     23.567u      2.217s     24.819w      3 calls
WmnijT2                             :      3.550u      0.383s      3.729w      9 calls
WmbejT2                             :      9.317u      1.100s      8.358w      9 calls
WabefT2                             :      7.000u      0.317s      7.014w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.900u      0.033s      0.575w     41 calls
| Libint2ERI::Libint2ERI            :      0.450u      0.017s      0.337w     41 calls
DFH: initialize()                   :      6.150u      0.333s      3.252w     41 calls
| Libint2ERI::Libint2ERI            :      0.633u      0.067s      0.334w    123 calls
| DFH: AO Construction              :      2.017u      0.000s      0.941w     41 calls
| DFH: AO-Met. Contraction          :      0.667u      0.033s      0.340w     41 calls
HF: Form core H                     :      8.683u      0.967s     10.170w     52 calls
HF: Form S/X                        :      0.250u      0.033s      0.174w     52 calls
HF: Guess                           :      1.200u      0.083s      0.645w     52 calls
| DFH: sparsity prep                  :      0.450u      0.067s      0.449w     13 calls
SAD Guess                         :      1.067u      0.067s      0.610w      3 calls
Libint2ERI::Libint2ERI              :      3.783u      0.217s      2.342w    242 calls
HF: Form G                          :      8.933u      0.400s      5.570w    635 calls
DFH: initialize()                   :      2.467u      0.250s      1.404w     13 calls
| DFH: AO Construction                :      0.883u      0.000s      0.509w     13 calls
JK: D                             :      0.083u      0.000s      0.030w    635 calls
| DFH: AO-Met. Contraction            :      0.317u      0.083s      0.251w     13 calls
JK: USO2AO                        :      0.067u      0.000s      0.115w    635 calls
HF: Form core H                     :      4.050u      0.467s      5.481w     25 calls
| HF: Form S/X                        :      0.533u      0.100s      0.613w     25 calls
JK: JK                            :      8.333u      0.383s      5.098w    635 calls
HF: Guess                           :      1.733u      0.050s      0.918w     25 calls
| | SAD Guess                           :      1.550u      0.033s      0.836w      4 calls
DFH: compute_JK()               :      3.183u      0.117s      1.957w    495 calls
| | | HF: Form G                          :      6.950u      0.217s      4.302w    270 calls
JK: D                               :      0.033u      0.000s      0.013w    270 calls
DFH: Grabbing AOs             :      0.033u      0.000s      0.002w    495 calls
JK: USO2AO                          :      0.017u      0.000s      0.008w    270 calls
| | | JK: JK                              :      6.650u      0.167s      4.087w    270 calls
DFH: compute_J                :      0.517u      0.000s      0.450w    495 calls
DFH: compute_JK()                   :      1.250u      0.017s      0.659w    134 calls
| | | DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    134 calls
DFH: compute_J                      :      0.200u      0.000s      0.179w    134 calls
DFH: compute_K                :      2.317u      0.083s      1.387w    495 calls
DFH: compute_K                      :      0.933u      0.017s      0.460w    134 calls
| | PK computes JK                      :      4.067u      0.117s      2.575w     92 calls
PK computes JK                  :      4.483u      0.233s      2.786w    107 calls
JK: J                               :      0.117u      0.017s      0.144w     44 calls
| | JK: J1                              :      0.067u      0.017s      0.128w     88 calls
JK: J2                              :      0.000u      0.000s      0.013w     88 calls
JK: J                           :      0.017u      0.000s      0.016w     33 calls
JK: K                               :      1.167u      0.000s      0.696w     44 calls
| | | JK: K1                              :      0.833u      0.000s      0.490w     88 calls
